Kode;Kategori;Deskripsi;Satuan;Harga Beli;Diskon Beli;Total Beli;Harga Jual;Diskon Jual;Total Jual;;
RJ1802;AJI;"KAPI/SCRAP PVC 6""";1pcs;750;0 %;750;1.000;0 %;1.000;;
RJ1804;AJI;KAPI/SCRAP PVC 9;1pcs;1.750;0 %;1.750;2.500;0 %;2.500;;
RJ1803;AJI;"KAPI/SECRAP PVC 7""";1pcs;1.250;0 %;1.250;2.000;0 %;2.000;;
RJ1236;AJI;Kawat Bendrat @25kl;Rool;365.000;0 %;365.000;20.000;0 %;20.000;;
RJ1165;AJI;Kawat Loke;PCS;70.000;0 %;70.000;70.000;0 %;70.000;;
RJ1227;AJI;Kawat Loket Pvc 1/4(1cm);Pcs ;95.000;0 %;95.000;100.000;0 %;100.000;;
RJ1204;AJI;"Kikir 4"" India";PCS;11.500;0 %;11.500;12.500;0 %;12.500;;
RJ1205;AJI;"Kikir 4"" USA";PCS;8.000;0 %;8.000;10.000;0 %;10.000;;
RJ1360;AJI;Kompresor Xenon 3/4 Hp 8L;PCS;1.100.000;0 %;1.100.000;1.100.000;0 %;1.100.000;;
RJ1512;AJI;Kran Angsa Flex Orca-1 Engkol Kpl Besar;1pcs;60.000;0 %;60.000;75.000;0 %;75.000;;
RJ1487;AJI;Kran Bonucci 1/2;PCS;13.500;0 %;13.500;15.000;0 %;15.000;;
RJ1486;AJI;Kran Bonucci 3/4;PCS;14.500;0 %;14.500;15.000;0 %;15.000;;
RJ1495;AJI;Kran Hongsu  Gg Biru 3/4;PCS;25.000;0 %;25.000;30.000;0 %;30.000;;
RJ1821;AJI;"Kuas 11/2"" 633 Stark";1pcs;18.500;0 %;18.500;2.000;0 %;2.000;;
RJ1794;AJI;"Kuas 633 1"" EF";LUSIN;13.000;0 %;13.000;1.500;0 %;1.500;;
RJ1793;AJI;"KUAS GOOD 1/2""";LUSIN;15.000;0 %;15.000;20.000;0 %;20.000;;
RJ1795;AJI;"Kuas Good 4""";LUSIN;62.500;0 %;62.500;70.000;0 %;70.000;;
RJ1792;AJI;"KUAS OLYMPIC 4""";LUSIN;165.000;0 %;165.000;170.000;0 %;170.000;;
RJ1164;AJI;"Kuas Roll Kapal/ Yustar 9""";PCS;90.000;0 %;90.000;10.000;0 %;10.000;;
RJ1209;AJI;"Kuas Rool standar 9""";PCS;210.000;0 %;210.000;20.000;0 %;20.000;;
RJ1789;AJI;"Kuas Stayer 2""";LUSIN;45.000;0 %;45.000;50.000;0 %;50.000;;
RJ1790;AJI;"KUAS STAYER 21/2""";LUSIN;55.000;0 %;55.000;60.000;0 %;60.000;;
RJ1791;AJI;"KUAS STAYER 3""";LUSIN;67.500;0 %;67.500;75.000;0 %;75.000;;
RJ1780;AJI;Kunci Pas 10 + 11 Vanad Arm;1pcs;9.500;0 %;9.500;10.000;0 %;10.000;;
RJ1781;AJI;Kunci Pas 12 + 13 Vanad Arm;1pcs;10.000;0 %;10.000;12.000;0 %;12.000;;
RJ1782;AJI;Kunci Pas 14 + 15 Vanad Arm;1pcs;12.000;0 %;12.000;15.000;0 %;15.000;;
RJ1783;AJI;Kunci Pas 16 + 17 Vanad Arm;1pcs;13.500;0 %;13.500;17.500;0 %;17.500;;
RJ1779;AJI;Kunci Pas 8 + 9 Vanad Arm;1pcs;7.500;0 %;7.500;10.000;0 %;10.000;;
RJ1787;AJI;Kunci Pas Ring Vanad 10;1pcs;9.500;0 %;9.500;12.500;0 %;12.500;;
RJ1786;AJI;Kunci Pas Ring Vanad 12;1pcs;11.000;0 %;11.000;12.500;0 %;12.500;;
